Region,Data_Date,Month_Day_MonthName,Month,Campaign,Clicks,Impr,Unique Impr,Current_Code,Cost,Click_Conversions,View_Conversion,CPC,CPA,Channel,Funnel_Stage
Florida,2025-04-08,08 - 08 - April,April 2025,[SG] Florida | TOF,5,3694,1216,USD,54.42,0,0,10.884,0,Slynd DTC Video StackAapt,TOF
Virginia,2025-04-08,08 - 08 - April,April 2025,[SG] DTC Skewed | BOF | Web RT,0,413,78,USD,6.16,0,0,0,0,Slynd DTC Video StackAapt,BOF
Arkansas,2025-04-08,08 - 08 - April,April 2025,[SG] Arkansas | TOF,6,3511,1278,USD,27.45,0,0,4.575,0,Slynd DTC Display StackAapt,TOF
Illinois,2025-04-08,08 - 08 - April,April 2025,[SG] DTP | Illinois | TOF,1,1189,82,USD,44.66,0,0,44.66,0,Slynd DTP Display StackAapt,TOF
Nebraska,2025-04-08,08 - 08 - April,April 2025,[SG] DTP Skewed | BOF | Web RT,0,33,4,USD,0.48,0,0,0,0,Slynd DTC Video StackAapt,BOF
California,2025-04-08,08 - 08 - April,April 2025,[SG] DTP Focused | BOF | Web RT,1,215,25,USD,3.17,0,0,3.17,0,Slynd DTC Video StackAapt,BOF
Illinois,2025-04-08,08 - 08 - April,April 2025,[SG] Illinois | TOF,0,1287,245,USD,18.87,0,0,0,0,Slynd DTC Video StackAapt,TOF
Texas,2025-04-08,08 - 08 - April,April 2025,[SG] DTC Focused | TOF,1,1629,447,USD,23.73,0,0,23.73,0,Slynd DTC Video StackAapt,TOF
Massachusetts,2025-04-08,08 - 08 - April,April 2025,[SG] DTP | Massachusetts | TOF,0,626,66,USD,23.76,0,0,0,0,Slynd DTP Display StackAapt,TOF
Kansas,2025-04-08,08 - 08 - April,April 2025,[SG] DTP Skewed | BOF | Web RT,0,82,11,USD,1.21,0,0,0,0,Slynd DTC Video StackAapt,BOF
Maine,2025-04-08,08 - 08 - April,April 2025,[SG] Maine | BOF | Web RT,0,664,31,USD,5.2,0,0,0,0,Slynd DTC Display StackAapt,BOF
Missouri,2025-04-08,08 - 08 - April,April 2025,[SG] Missouri | BOF | Web RT,0,705,108,USD,10.37,0,0,0,0,Slynd DTC Video StackAapt,BOF
Oklahoma,2025-04-08,08 - 08 - April,April 2025,[SG] Oklahoma | BOF | Web RT,2,3049,173,USD,18.04,0,0,9.02,0,Slynd DTC Display StackAapt,BOF
New Jersey,2025-04-08,08 - 08 - April,April 2025,[SG] New Jersey | TOF,19,12871,4598,USD,88.28,0,0,4.646315789,0,Slynd DTC Display StackAapt,TOF
Oklahoma,2025-04-08,08 - 08 - April,April 2025,[SG] Oklahoma | TOF,1,2568,908,USD,17.65,0,0,17.65,0,Slynd DTC Display StackAapt,TOF
Kentucky,2025-04-08,08 - 08 - April,April 2025,[SG] Kentucky | BOF | Web RT,2,7760,637,USD,61.15,0,0,30.575,0,Slynd DTC Display StackAapt,BOF
North Carolina,2025-04-08,08 - 08 - April,April 2025,[SG] DTP | North Carolina | TOF,0,211,20,USD,8.19,0,0,0,0,Slynd DTP Display StackAapt,TOF
Texas,2025-04-08,08 - 08 - April,April 2025,[SG] 31 States | TOF,0,0,0,USD,0,1,0,0,0,Slynd DTC Video StackAapt,TOF
Georgia,2025-04-08,08 - 08 - April,April 2025,[SG] Georgia | BOF | Web RT,2,1518,132,USD,8.93,0,0,4.465,0,Slynd DTC Display StackAapt,BOF
Arizona,2025-04-08,08 - 08 - April,April 2025,[SG] Arizona | BOF | Web RT,0,689,124,USD,10.26,0,0,0,0,Slynd DTC Video StackAapt,BOF
South Dakota,2025-04-08,08 - 08 - April,April 2025,[SG] DTP Focused | TOF,0,34,12,USD,0.5,0,0,0,0,Slynd DTC Video StackAapt,TOF
Ohio,2025-04-08,08 - 08 - April,April 2025,[SG] Ohio | BOF | Web RT,2,5597,436,USD,33.26,0,0,16.63,0,Slynd DTC Display StackAapt,BOF
North Carolina,2025-04-08,08 - 08 - April,April 2025,[SG] North Carolina | BOF | Web RT,1,2693,212,USD,16,0,0,16,0,Slynd DTC Display StackAapt,BOF
Florida,2025-04-08,08 - 08 - April,April 2025,[SG] Florida | BOF | Web RT,10,9320,1047,USD,51.91,0,0,5.191,0,Slynd DTC Display StackAapt,BOF
Louisiana,2025-04-08,08 - 08 - April,April 2025,[SG] DTC Skewed | TOF,0,332,155,USD,5,0,0,0,0,Slynd DTC Video StackAapt,TOF
Massachusetts,2025-04-08,08 - 08 - April,April 2025,[SG] Massachusetts | BOF | Web RT,1,1278,110,USD,7.52,0,0,7.52,0,Slynd DTC Display StackAapt,BOF
South Carolina,2025-04-08,08 - 08 - April,April 2025,[SG] South Carolina | TOF,3,3490,1424,USD,24,0,0,8,0,Slynd DTC Display StackAapt,TOF
Arkansas,2025-04-08,08 - 08 - April,April 2025,[SG] DTP | Arkansas | TOF,0,186,21,USD,7.14,0,0,0,0,Slynd DTP Display StackAapt,TOF
Washington,2025-04-08,08 - 08 - April,April 2025,[SG] Washington | BOF | Web RT,1,2651,138,USD,15.61,0,0,15.61,0,Slynd DTC Display StackAapt,BOF
South Carolina,2025-04-08,08 - 08 - April,April 2025,[SG] DTP Skewed | BOF | Web RT,0,83,17,USD,1.25,0,0,0,0,Slynd DTC Video StackAapt,BOF
Connecticut,2025-04-08,08 - 08 - April,April 2025,[SG] Connecticut | TOF,2,2578,1150,USD,17.73,0,0,8.865,0,Slynd DTC Display StackAapt,TOF
Missouri,2025-04-08,08 - 08 - April,April 2025,[SG] DTP |  Missouri | TOF,0,653,45,USD,24.6,0,0,0,0,Slynd DTP Display StackAapt,TOF
Connecticut,2025-04-08,08 - 08 - April,April 2025,[SG] DTP | Connecticut | TOF,0,163,13,USD,6.09,0,0,0,0,Slynd DTP Display StackAapt,TOF
New York,2025-04-08,08 - 08 - April,April 2025,[SG] DTP |  New York | TOF,6,1563,129,USD,59.32,0,0,9.886666667,0,Slynd DTP Display StackAapt,TOF
Illinois,2025-04-08,08 - 08 - April,April 2025,[SG] Illinois | TOF,3,5589,2889,USD,38.39,0,0,12.79666667,0,Slynd DTC Display StackAapt,TOF
Maryland,2025-04-08,08 - 08 - April,April 2025,[SG] DTP Skewed | TOF,0,412,144,USD,6.03,0,0,0,0,Slynd DTC Video StackAapt,TOF
Missouri,2025-04-08,08 - 08 - April,April 2025,[SG] Missouri | TOF,4,6333,2297,USD,49.79,0,0,12.4475,0,Slynd DTC Display StackAapt,TOF
Virginia,2025-04-08,08 - 08 - April,April 2025,[SG] DTC Skewed | TOF,2,1139,453,USD,16.74,0,0,8.37,0,Slynd DTC Video StackAapt,TOF
Iowa,2025-04-08,08 - 08 - April,April 2025,[SG] DTP Focused | BOF | Web RT,0,24,6,USD,0.35,0,0,0,0,Slynd DTC Video StackAapt,BOF
Connecticut,2025-04-08,08 - 08 - April,April 2025,[SG] DTC Skewed | BOF | Web RT,0,180,46,USD,2.69,0,0,0,0,Slynd DTC Video StackAapt,BOF
Louisiana,2025-04-08,08 - 08 - April,April 2025,[SG] Louisiana | BOF | Web RT,1,2684,197,USD,15.88,0,0,15.88,0,Slynd DTC Display StackAapt,BOF
Kentucky,2025-04-08,08 - 08 - April,April 2025,[SG] Kentucky | BOF | Web RT,0,944,194,USD,13.98,0,0,0,0,Slynd DTC Video StackAapt,BOF
Maryland,2025-04-08,08 - 08 - April,April 2025,[SG] DTP Skewed | BOF | Web RT,0,78,26,USD,1.16,0,0,0,0,Slynd DTC Video StackAapt,BOF
Tennessee,2025-04-08,08 - 08 - April,April 2025,[SG] DTP |  Tennessee | TOF,0,285,26,USD,10.87,0,0,0,0,Slynd DTP Display StackAapt,TOF
Nebraska,2025-04-08,08 - 08 - April,April 2025,[SG] DTP Skewed | TOF,0,113,50,USD,1.67,0,0,0,0,Slynd DTC Video StackAapt,TOF
Kansas,2025-04-08,08 - 08 - April,April 2025,[SG] Kansas | BOF | Web RT,0,1459,101,USD,8.58,0,0,0,0,Slynd DTC Display StackAapt,BOF
Maine,2025-04-08,08 - 08 - April,April 2025,[SG] DTP Focused | TOF,0,117,36,USD,1.72,0,0,0,0,Slynd DTC Video StackAapt,TOF
